total_points,avg_dev,std_dev,label,band_1_points,band_2_points,band_3_points,band_4_points,band_5_points,band_6_points,band_7_points,band_8_points,band_9_points,band_10_points,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20
73,2.68251e+07,2.77447e+07,0,4,2,5,8,4,8,6,12,6,18,3.03112e+06,7.73814e+06,3.62342e+06,1.35321e+07,4.96522e+07,8.94313e+06,5.29882e+06,1.606e+06,4.93199e+06,7.59755e+07,7.03241e+07,7.05817e+07,2.76533e+07,7.20704e+07,8.10675e+07,2.49843e+07,3.37209e+07,3.13722e+06,6.16349e+07,4.93272e+07
18,62.7347,59.0002,1,1,1,2,0,2,3,0,3,3,3,114.658,35.9323,163.476,3.7259,135.438,13.8109,81.6617,0.921458,10.1494,33.0416,0.655273,4.08175,11.9478,149.86,137.262,121.146,48.7204,0,0,0
19,2.568e+07,2.7394e+07,0,1,1,2,0,2,3,0,3,3,4,3.24383e+07,2.59678e+06,1.9951e+07,9.07743e+07,5.73731e+07,1.37113e+07,7.35107e+07,5.59567e+07,3.93945e+07,1.8743e+06,294192,1.84696e+06,6.25003e+06,272347,1.7083e+06,3.44987e+06,4.04931e+07,2.03443e+07,0,0
10,56.9724,22.9066,1,1,0,1,0,1,0,1,1,2,3,13.8758,48.8704,60.1632,106.461,44.8752,70.6112,56.9118,54.1748,56.8086,0,0,0,0,0,0,0,0,0,0,0
10,1.90894e+07,1.67019e+07,0,1,0,1,0,1,0,1,1,2,3,2.62362e+07,2.63849e+07,70421.3,4.16315e+07,4.8859e+07,107883,7.03528e+06,1.23446e+07,9.13513e+06,0,0,0,0,0,0,0,0,0,0,0
70,75.7506,74.5778,1,4,2,6,4,8,4,10,11,7,14,44.7372,77.8435,138.82,141.481,49.8265,44.8224,20.0801,71.2356,249.256,129.452,32.7029,26.0023,9.51132,187.355,180.6,108.024,148.465,192.418,189.616,0.116699
68,2.47362e+07,2.62882e+07,0,4,2,5,3,8,4,10,11,7,14,2.47058e+06,1.90346e+07,2.52552e+06,3.39033e+07,3.21664e+07,2.09767e+07,2.73054e+06,9.61485e+06,5.11835e+06,1.15069e+07,2.5192e+07,6.87841e+07,7.3148e+07,7.39746e+07,3.1014e+07,5.0607e+07,6.7827e+07,9.99389e+07,4.16873e+07,5.46373e+06
21,62.1515,61.1595,1,1,1,2,2,0,2,3,3,3,4,96.7071,49.9927,152.072,0.934855,129.869,13.4535,2.46943,16.4988,43.2923,1.08987,4.23493,26.605,149.664,137.984,113.654,1.57216,5.87703,16.367,179.754,100.939
22,2.48443e+07,2.23321e+07,0,1,1,2,2,0,2,3,3,4,4,2.96506e+07,4.53389e+06,2.20363e+07,8.88177e+07,5.72336e+07,1.46783e+07,2.59929e+06,1.50929e+07,3.62105e+07,5.59098e+07,4.60392e+07,1.36614e+07,309925,1.69182e+06,5.05269e+06,4.06992e+07,5.40112e+06,9.35093e+06,3.0145e+07,2.73899e+07
73,72.7593,72.9059,1,2,6,3,6,5,10,10,5,14,12,140.191,43.1378,11.5363,44.4235,40.5641,131.706,191.643,33.9942,88.2023,132.829,26.3371,39.9118,99.6625,312.569,251.906,142.71,206.876,138.078,135.126,211.86
74,3.13228e+07,2.84182e+07,0,2,3,6,3,8,5,10,5,14,18,2.02203e+07,9.63893e+06,6.81214e+06,358711,1.53574e+07,1.45431e+07,2.83079e+07,5.01484e+07,6.84234e+07,9.50133e+07,5.28494e+07,7.167e+07,9.07929e+07,7.6679e+07,9.85885e+06,8.58149e+06,8.71457e+07,7.27628e+07,2.05154e+07,1.29511e+07
22,88.5606,59.1184,1,1,1,2,2,0,2,3,3,4,4,44.5145,81.8276,17.418,115.276,121.65,91.4664,134.921,9.60539,71.3948,1.55882,3.32851,29.2263,150.143,140.473,113.781,221.449,20.741,85.598,143.89,158.011
21,2.5795e+07,2.2934e+07,0,1,1,2,2,0,2,2,3,4,4,1.6681e+07,1.06686e+07,3.27293e+07,7.93066e+07,5.65825e+07,1.32114e+07,4.10381e+06,8.60342e+06,3.68664e+07,5.93069e+07,6.82635e+07,419083,1.12706e+06,8.66166e+06,3.67994e+07,4.30319e+06,1.39198e+07,2.42069e+07,2.43326e+07,1.58062e+07
10,26.0624,21.689,1,1,0,1,0,1,1,0,1,2,3,60.1665,54.7868,5.90252,6.93777,9.24529,0.652669,20.5654,27.6086,48.6959,0,0,0,0,0,0,0,0,0,0,0
10,1.67227e+07,1.54873e+07,0,1,0,1,0,1,0,1,1,2,3,2.68173e+07,2.69471e+07,196915,3.74643e+07,4.1401e+07,83125.3,3.61056e+06,6.05511e+06,7.92837e+06,0,0,0,0,0,0,0,0,0,0,0
72,77.5169,74.5774,1,3,4,3,8,4,8,11,6,12,13,100.865,71.903,65.7439,10.9192,70.7519,59.1434,162.242,120.755,31.8229,31.9794,93.948,94.8661,12.4517,238.098,68.2318,212.719,184.571,15.2053,56.2953,181.899
75,2.72757e+07,2.81089e+07,0,4,2,5,8,4,9,6,12,6,19,6.30409e+06,7.59129e+06,4.87292e+06,1.72599e+07,3.6121e+07,8.14309e+06,5.20207e+06,907118,1.51679e+07,7.30409e+07,7.44896e+07,6.36397e+07,2.95126e+07,7.09583e+07,8.13093e+07,6.37053e+07,2.9588e+06,3.22285e+07,1.31921e+07,4.9695e+07
21,86.4811,50.6936,1,2,2,2,0,2,2,0,3,4,4,38.4937,112.598,61.0625,71.4398,97.0734,113.889,124.111,2.02717,9.66722,1.58588,84.1029,148.447,144.792,100.88,171.599,8.92688,134.323,72.9675,123.391,108.245
20,2.71341e+07,2.46886e+07,0,1,2,2,0,2,2,0,3,4,4,8.55827e+06,1.66061e+07,1.01842e+07,5.99617e+07,5.3945e+07,5.69294e+07,1.3089e+06,4.5633e+07,5.36691e+07,8.93172e+07,520320,886741,1.55456e+07,2.79854e+07,1.53569e+06,2.42012e+07,1.26475e+07,1.92246e+07,1.68872e+07,0
73,76.9522,67.0911,1,4,3,6,3,9,5,10,10,9,14,49.8051,13.1467,121.782,68.7949,146.792,221.865,34.8806,107.779,135.755,31.0172,73.5445,99.0153,322.736,139.784,140.364,187.362,132.294,156.876,214.779,42.2626
70,2.78081e+07,3.1688e+07,0,2,3,6,3,8,5,10,10,9,14,2.62855e+07,1.00266e+07,4.18418e+06,944421,1.788e+07,2.97107e+07,3.10159e+07,4.69233e+07,7.43349e+07,9.76699e+07,5.12627e+07,7.59199e+07,9.26449e+07,7.83537e+07,1.49603e+07,5.15095e+06,9.19551e+07,9.5282e+07,2.04653e+07,1.29429e+07
21,74.8593,56.4511,1,1,2,2,2,0,2,3,3,4,2,72.7911,23.8587,111.615,109.769,95.0477,126.071,9.06608,18.164,7.6316,65.9152,1.33384,3.55439,25.1674,150.957,147.099,111.843,160.084,12.9777,86.834,157.405
25,2.28934e+07,2.20991e+07,0,1,2,2,2,0,2,3,3,4,6,1.79469e+07,3.7202e+06,2.67468e+07,5.95772e+07,5.151e+07,5.84644e+07,7.98778e+06,3.6724e+07,5.83845e+07,7.80363e+07,508736,925523,1.28513e+07,428213,1.19267e+06,5.62458e+06,2.75678e+07,5.35373e+06,1.78553e+07,2.56727e+07
10,50.2383,33.651,1,1,0,1,1,0,1,1,2,0,3,20.3019,36.7342,93.884,66.4341,21.3974,108.938,38.3026,1.95741,64.1946,0,0,0,0,0,0,0,0,0,0,0
10,1.74831e+07,1.13061e+07,0,1,0,1,0,1,1,1,2,0,3,2.83601e+07,3.0358e+07,6.3313e+06,2.5493e+07,3.48568e+07,8.46582e+06,5.31965e+06,7.41194e+06,1.07511e+07,0,0,0,0,0,0,0,0,0,0,0
74,78.7786,75.8372,1,4,3,6,4,9,5,10,11,8,14,174.162,54.9873,109.328,51.8815,2.70347,141.854,58.7033,199.106,95.9185,304.561,89.6434,33.0861,22.0931,188.335,178.281,202.698,142.412,109.657,170.305,222.888
70,2.5689e+07,2.83538e+07,0,3,2,6,3,8,5,10,11,8,14,1.96056e+07,2.79607e+07,677405,730619,1.0843e+07,1.09793e+07,1.93133e+07,3.68585e+07,9.53177e+07,9.27486e+07,4.00172e+07,7.32292e+07,7.48285e+07,7.90798e+07,4.29657e+07,6.66844e+06,2.26144e+07,4.26293e+07,3.21358e+07,6.23877e+06
22,62.6223,66.6925,1,1,1,2,2,3,0,3,3,3,4,156.334,34.1175,126.424,7.66172,141.136,29.9106,21.7157,1.0113,7.55288,18.3637,0.907237,5.73245,13.9719,155.186,140.103,129.631,1.36049,7.61735,12.4343,203.405
